76.056,Info,Arena,3,Enter_Zone,4
76.635,Info,Arena,3,Exit_Zone,4
76.635,Info,Arena,3,Enter_Zone,2
77.467,Info,Arena,1,Exit_Zone,1
77.467,Info,Arena,1,Enter_Zone,4
77.693,Info,Arena,8,Exit_Zone,1
77.693,Info,Arena,8,Enter_Zone,4
77.992,Info,Arena,4,Exit_Zone,3
77.992,Info,Arena,4,Enter_Zone,4
78.218,Info,Arena,8,Exit_Zone,4
78.218,Info,Arena,8,Enter_Zone,2
78.291,Info,Arena,1,Exit_Zone,4
78.291,Info,Arena,1,Enter_Zone,3
78.291,Info,Arena,7,Exit_Zone,2
78.291,Info,Arena,7,Enter_Zone,4
78.485,Info,Arena,4,Exit_Zone,4
78.485,Info,Arena,4,Enter_Zone,2
78.881,Info,Arena,7,Exit_Zone,4
78.881,Info,Arena,7,Enter_Zone,1
79.403,Info,Arena,3,Exit_Zone,2
79.403,Info,Arena,3,Enter_Zone,4
79.47,Info,Arena,3,Exit_Zone,4
79.47,Info,Arena,3,Enter_Zone,1
80.668,Info,Arena,6,Exit_Zone,1
80.668,Info,Arena,6,Enter_Zone,4
80.913,Info,Arena,5,Exit_Zone,3
80.913,Info,Arena,5,Enter_Zone,4
80.947,Info,Arena,6,Exit_Zone,4
80.947,Info,Arena,6,Enter_Zone,2
81.055,Info,Arena,5,Exit_Zone,4
81.055,Info,Arena,5,Enter_Zone,2
82.11,Info,Arena,3,Exit_Zone,1
82.11,Info,Arena,3,Enter_Zone,4
82.422,Info,Arena,1,Exit_Zone,3
82.422,Info,Arena,1,Enter_Zone,4
82.422,Info,Arena,7,Exit_Zone,1
82.422,Info,Arena,7,Enter_Zone,4
82.571,Info,Arena,3,Exit_Zone,4
82.571,Info,Arena,3,Enter_Zone,2
82.953,Info,Arena,1,Exit_Zone,4
82.953,Info,Arena,1,Enter_Zone,2
82.953,Info,Arena,7,Exit_Zone,4
82.953,Info,Arena,7,Enter_Zone,2
83.562,Info,Arena,6,Exit_Zone,2
83.562,Info,Arena,6,Enter_Zone,4
84.057,Info,Arena,6,Exit_Zone,4
84.057,Info,Arena,6,Enter_Zone,3
84.236,Info,Arena,4,Exit_Zone,2
84.236,Info,Arena,4,Enter_Zone,4
84.236,Info,Arena,8,Exit_Zone,2
84.236,Info,Arena,8,Enter_Zone,4
84.443,Info,Arena,4,Exit_Zone,4
84.443,Info,Arena,4,Enter_Zone,3
84.552,Info,Arena,4,Exit_Zone,3
84.552,Info,Arena,4,Enter_Zone,4
84.588,Info,Arena,4,Exit_Zone,4
84.588,Info,Arena,4,Enter_Zone,3
85.053,Info,Arena,4,Exit_Zone,3
85.053,Info,Arena,4,Enter_Zone,4
85.053,Info,Arena,8,Exit_Zone,4
85.053,Info,Arena,8,Enter_Zone,1
85.431,Info,Arena,4,Exit_Zone,4
85.431,Info,Arena,4,Enter_Zone,2
86.135,Info,Arena,7,Exit_Zone,2
86.135,Info,Arena,7,Enter_Zone,4
86.237,Info,Arena,7,Exit_Zone,4
86.237,Info,Arena,7,Enter_Zone,1
87.508,Info,Arena,1,Exit_Zone,2
87.508,Info,Arena,1,Enter_Zone,4
87.71,Info,Arena,5,Exit_Zone,2
87.71,Info,Arena,5,Enter_Zone,4
87.885,Info,Arena,5,Exit_Zone,4
87.885,Info,Arena,5,Enter_Zone,3
88.175,Info,Arena,1,Exit_Zone,4
88.175,Info,Arena,1,Enter_Zone,1
88.488,Info,Arena,3,Exit_Zone,2
88.488,Info,Arena,3,Enter_Zone,4
88.564,Info,Arena,7,Exit_Zone,1
88.564,Info,Arena,7,Enter_Zone,4
88.679,Info,Arena,3,Exit_Zone,4
88.679,Info,Arena,3,Enter_Zone,1
88.679,Info,Arena,6,Exit_Zone,3
88.679,Info,Arena,6,Enter_Zone,4
88.943,Info,Arena,7,Exit_Zone,4
88.943,Info,Arena,7,Enter_Zone,3
89.127,Info,Arena,6,Exit_Zone,4
89.127,Info,Arena,6,Enter_Zone,2
90.169,Info,Arena,4,Exit_Zone,2
90.169,Info,Arena,4,Enter_Zone,4
90.352,Info,Arena,5,Exit_Zone,3
90.352,Info,Arena,5,Enter_Zone,4
90.651,Info,Arena,4,Exit_Zone,4
90.651,Info,Arena,4,Enter_Zone,3
90.651,Info,Arena,5,Exit_Zone,4
90.651,Info,Arena,5,Enter_Zone,1
90.76,Info,Arena,3,Exit_Zone,1
90.76,Info,Arena,3,Enter_Zone,4
91.019,Info,Arena,3,Exit_Zone,4
91.019,Info,Arena,3,Enter_Zone,2
91.559,Info,Arena,1,Exit_Zone,1
91.559,Info,Arena,1,Enter_Zone,4
92.016,Info,Arena,1,Exit_Zone,4
92.016,Info,Arena,1,Enter_Zone,2
92.05,Info,Arena,8,Exit_Zone,1
92.05,Info,Arena,8,Enter_Zone,4
92.5,Info,Arena,8,Exit_Zone,4
92.5,Info,Arena,8,Enter_Zone,2
92.888,Info,Arena,6,Exit_Zone,2
92.888,Info,Arena,6,Enter_Zone,4
93.327,Info,Arena,6,Exit_Zone,4
93.327,Info,Arena,6,Enter_Zone,3
93.522,Info,Arena,3,Exit_Zone,2
93.522,Info,Arena,3,Enter_Zone,4
93.659,Info,Arena,4,Exit_Zone,3
93.659,Info,Arena,4,Enter_Zone,4
94.043,Info,Arena,3,Exit_Zone,4
94.043,Info,Arena,3,Enter_Zone,1
94.254,Info,Arena,4,Exit_Zone,4
94.254,Info,Arena,4,Enter_Zone,2
94.906,Info,Arena,8,Exit_Zone,2
94.906,Info,Arena,8,Enter_Zone,4
95.642,Info,Arena,7,Exit_Zone,3
95.642,Info,Arena,7,Enter_Zone,4
95.82,Info,Arena,1,Exit_Zone,2
95.82,Info,Arena,1,Enter_Zone,4
95.927,Info,Arena,3,Exit_Zone,1
95.927,Info,Arena,3,Enter_Zone,4
96.065,Info,Arena,7,Exit_Zone,4
96.065,Info,Arena,7,Enter_Zone,2
96.201,Info,Arena,1,Exit_Zone,4
96.201,Info,Arena,1,Enter_Zone,1
96.367,Info,Arena,3,Exit_Zone,4
96.367,Info,Arena,3,Enter_Zone,3
96.574,Info,Arena,3,Exit_Zone,3
96.574,Info,Arena,3,Enter_Zone,4
96.704,Info,Arena,8,Exit_Zone,4
96.704,Info,Arena,8,Enter_Zone,3
96.738,Info,Arena,3,Exit_Zone,4
96.738,Info,Arena,3,Enter_Zone,2
96.963,Info,Arena,4,Exit_Zone,2
96.963,Info,Arena,4,Enter_Zone,4
97.405,Info,Arena,4,Exit_Zone,4
97.405,Info,Arena,4,Enter_Zone,3
98.387,Info,Arena,6,Exit_Zone,3
98.387,Info,Arena,6,Enter_Zone,4
98.76,Info,Arena,6,Exit_Zone,4
98.76,Info,Arena,6,Enter_Zone,2
98.866,Info,Arena,7,Exit_Zone,2
98.866,Info,Arena,7,Enter_Zone,4
99.161,Info,Arena,8,Exit_Zone,3
99.161,Info,Arena,8,Enter_Zone,4
99.83,Info,Arena,7,Exit_Zone,4
99.83,Info,Arena,7,Enter_Zone,1
99.83,Info,Arena,8,Exit_Zone,4
99.83,Info,Arena,8,Enter_Zone,2
100.158,Info,Arena,5,Exit_Zone,1
100.158,Info,Arena,5,Enter_Zone,4
100.405,Info,Arena,1,Exit_Zone,1
100.405,Info,Arena,1,Enter_Zone,4
100.655,Info,Arena,5,Exit_Zone,4
100.655,Info,Arena,5,Enter_Zone,3
101.345,Info,Arena,1,Exit_Zone,4
101.345,Info,Arena,1,Enter_Zone,3
101.95,Info,Arena,3,Exit_Zone,2
101.95,Info,Arena,3,Enter_Zone,4
102.387,Info,Arena,3,Exit_Zone,4
102.387,Info,Arena,3,Enter_Zone,1
102.824,Info,Arena,2,Exit_Zone,3
102.824,Info,Arena,2,Enter_Zone,4
103.001,Info,Arena,2,Exit_Zone,4
103.001,Info,Arena,2,Enter_Zone,2
103.001,Info,Arena,6,Exit_Zone,2
103.001,Info,Arena,6,Enter_Zone,4
103.505,Info,Arena,6,Exit_Zone,4
103.505,Info,Arena,6,Enter_Zone,1
103.75,Info,Arena,2,Exit_Zone,2
103.75,Info,Arena,2,Enter_Zone,4
104.15,Info,Arena,4,Exit_Zone,3
104.15,Info,Arena,4,Enter_Zone,2
104.296,Info,Arena,2,Exit_Zone,4
104.296,Info,Arena,2,Enter_Zone,2
104.406,Info,Arena,2,Exit_Zone,2
104.406,Info,Arena,2,Enter_Zone,4
104.558,Info,Arena,2,Exit_Zone,4
104.558,Info,Arena,2,Enter_Zone,2
